loc_id,am_trip_count,pm_trip_count,borough_name,zone_name
164,167111,332313,Manhattan,Midtown South
165,5030,5157,Brooklyn,Midwood
166,65784,111441,Manhattan,Morningside Heights
167,6476,3626,Bronx,Morrisania/Melrose
168,10698,10720,Bronx,Mott Haven/Port Morris
169,5273,3722,Bronx,Mount Hope
170,287499,472451,Manhattan,Murray Hill
171,1487,1040,Queens,Murray Hill-Queens
172,126,40,Staten Island,New Dorp/Midland Beach
173,2005,1645,Queens,North Corona
174,3703,2915,Bronx,Norwood
175,1118,700,Queens,Oakland Gardens
176,83,8,Staten Island,Oakwood
177,14054,8484,Brooklyn,Ocean Hill
178,1424,1146,Brooklyn,Ocean Parkway South
179,14780,10839,Queens,Old Astoria
180,1989,1889,Queens,Ozone Park
181,10802,15733,Brooklyn,Park Slope
182,8170,2795,Bronx,Parkchester
183,1465,715,Bronx,Pelham Bay
184,172,185,Bronx,Pelham Bay Park
185,2890,1737,Bronx,Pelham Parkway
186,398321,504959,Manhattan,Penn Station/Madison Sq West
187,27,23,Staten Island,Port Richmond
188,20007,16939,Brooklyn,Prospect-Lefferts Gardens
189,5630,6179,Brooklyn,Prospect Heights
190,824,1937,Brooklyn,Prospect Park
191,5508,3106,Queens,Queens Village
192,1074,1028,Queens,Queensboro Hill
193,14031,14039,Queens,Queensbridge/Ravenswood
194,502,932,Manhattan,Randalls Island
195,9363,4444,Brooklyn,Red Hook
196,4090,4854,Queens,Rego Park
197,10498,11483,Queens,Richmond Hill
198,7122,5304,Queens,Ridgewood
199,2,8,Bronx,Rikers Island
200,2227,2034,Bronx,Riverdale/North Riverdale/Fieldston
201,1177,1033,Queens,Rockaway Park
202,2437,2107,Manhattan,Roosevelt Island
203,2350,1256,Queens,Rosedale
204,6,5,Staten Island,Rossville/Woodrow
205,7467,4484,Queens,Saint Albans
206,68,38,Staten Island,Saint George/New Brighton
207,1473,1463,Queens,Saint Michaels Cemetery/Woodside
208,3199,1579,Bronx,Schuylerville/Edgewater Park
209,13578,30975,Manhattan,Seaport
210,4789,3796,Brooklyn,Sheepshead Bay
211,40209,145632,Manhattan,SoHo
212,5085,2139,Bronx,Soundview/Bruckner
213,8874,4021,Bronx,Soundview/Castle Hill
214,191,164,Staten Island,South Beach/Dongan Hills
215,7727,5213,Queens,South Jamaica
216,11997,13936,Queens,South Ozone Park
217,2485,2751,Brooklyn,South Williamsburg
218,5323,3081,Queens,Springfield Gardens North
219,3766,3793,Queens,Springfield Gardens South
220,3338,3172,Bronx,Spuyten Duyvil/Kingsbridge
221,462,98,Staten Island,Stapleton
222,6102,3715,Brooklyn,Starrett City
223,9214,9669,Queens,Steinway
224,36495,31261,Manhattan,Stuy Town/Peter Cooper Village
225,20187,14823,Brooklyn,Stuyvesant Heights
226,26923,29724,Queens,Sunnyside
227,3339,3100,Brooklyn,Sunset Park East
228,5824,7871,Brooklyn,Sunset Park West
229,205621,252803,Manhattan,Sutton Place/Turtle Bay North
230,252397,451784,Manhattan,Times Sq/Theatre District
231,114759,219860,Manhattan,TriBeCa/Civic Center
232,34411,37206,Manhattan,Two Bridges/Seward Park
233,132810,188149,Manhattan,UN/Turtle Bay South
234,180393,442285,Manhattan,Union Sq
235,6945,3493,Bronx,University Heights/Morris Heights
236,546086,835406,Manhattan,Upper East Side North
237,471141,933326,Manhattan,Upper East Side South
238,270307,348573,Manhattan,Upper West Side North
239,308150,491634,Manhattan,Upper West Side South
240,663,393,Bronx,Van Cortlandt Park
241,4573,2573,Bronx,Van Cortlandt Village
242,3012,3329,Bronx,Van Nest/Morris Park
243,17416,14927,Manhattan,Washington Heights North
244,36336,36085,Manhattan,Washington Heights South
245,56,25,Staten Island,West Brighton
246,111898,341915,Manhattan,West Chelsea/Hudson Yards
247,6848,6064,Bronx,West Concourse
248,4892,1934,Bronx,West Farms/Bronx River
249,128997,215392,Manhattan,West Village
250,4079,2514,Bronx,Westchester Village/Unionport
251,89,43,Staten Island,Westerleigh
252,919,1042,Queens,Whitestone
253,44,112,Queens,Willets Point
254,7681,3562,Bronx,Williamsbridge/Olinville
255,6998,14665,Brooklyn,Williamsburg (North Side)
256,11570,14700,Brooklyn,Williamsburg (South Side)
257,3030,2006,Brooklyn,Windsor Terrace
258,6510,3689,Queens,Woodhaven
259,4440,1850,Bronx,Woodlawn/Wakefield
260,9985,9568,Queens,Woodside
261,38994,110034,Manhattan,World Trade Center
262,257662,236027,Manhattan,Yorkville East
263,244711,292738,Manhattan,Yorkville West
264,17670,27465,Unknown,
265,3577,6976,,Outside of NYC
