loc_id,am_trip_count,pm_trip_count,borough_name,zone_name,pm_minus_am,pm_am_ratio,pm_increase_pct
137,125225,187911,Manhattan,Kips Bay,62686,1.500586943501697,50.058694350169695
138,238671,500901,Queens,LaGuardia Airport,262230,2.098709101650389,109.8709101650389
139,2796,1727,Queens,Laurelton,-1069,0.6176680972818311,-38.23319027181688
140,272041,397670,Manhattan,Lenox Hill East,125629,1.4618017137122714,46.18017137122713
141,278969,384463,Manhattan,Lenox Hill West,105494,1.3781567127530299,37.81567127530299
142,280152,489304,Manhattan,Lincoln Square East,209152,1.7465661498043918,74.6566149804392
143,178954,211322,Manhattan,Lincoln Square West,32368,1.1808732970484035,18.08732970484035
144,43243,165328,Manhattan,Little Italy/NoLiTa,122085,3.8232315056772195,282.32315056772194
145,22917,31121,Queens,Long Island City/Hunters Point,8204,1.3579875201815246,35.79875201815246
146,14284,14903,Queens,Long Island City/Queens Plaza,619,1.0433352002240268,4.333520022402689
147,3008,2042,Bronx,Longwood,-966,0.6788563829787234,-32.11436170212766
148,56195,102109,Manhattan,Lower East Side,45914,1.817047780051606,81.7047780051606
149,2702,2513,Brooklyn,Madison,-189,0.9300518134715026,-6.994818652849741
150,1120,1622,Brooklyn,Manhattan Beach,502,1.4482142857142857,44.82142857142858
151,117409,150533,Manhattan,Manhattan Valley,33124,1.282124879694061,28.21248796940609
152,18564,21619,Manhattan,Manhattanville,3055,1.1645658263305323,16.45658263305322
153,915,688,Manhattan,Marble Hill,-227,0.7519125683060109,-24.808743169398905
154,141,292,Brooklyn,Marine Park/Floyd Bennett Field,151,2.0709219858156027,107.0921985815603
155,4421,4567,Brooklyn,Marine Park/Mill Basin,146,1.0330242026690795,3.302420266907939
156,67,41,Staten Island,Mariners Harbor,-26,0.6119402985074627,-38.80597014925373
157,5550,3152,Queens,Maspeth,-2398,0.5679279279279279,-43.20720720720721
158,62176,130802,Manhattan,Meatpacking/West Village West,68626,2.103737776634071,110.3737776634071
159,6376,6006,Bronx,Melrose South,-370,0.9419698870765371,-5.803011292346299
160,3325,2497,Queens,Middle Village,-828,0.7509774436090225,-24.902255639097746
161,315919,804979,Manhattan,Midtown Center,489060,2.548055039424663,154.80550394246626
162,323452,551897,Manhattan,Midtown East,228445,1.706271718833088,70.6271718833088
163,208601,469236,Manhattan,Midtown North,260635,2.249442715998485,124.9442715998485
164,167111,332313,Manhattan,Midtown South,165202,1.9885764551705154,98.85764551705154
165,5030,5157,Brooklyn,Midwood,127,1.0252485089463221,2.524850894632207
166,65784,111441,Manhattan,Morningside Heights,45657,1.69404414447282,69.40441444728201
167,6476,3626,Bronx,Morrisania/Melrose,-2850,0.5599135268684373,-44.00864731315627
168,10698,10720,Bronx,Mott Haven/Port Morris,22,1.0020564591512433,0.2056459151243223
169,5273,3722,Bronx,Mount Hope,-1551,0.7058600417219799,-29.413995827802008
170,287499,472451,Manhattan,Murray Hill,184952,1.643313541960146,64.33135419601459
171,1487,1040,Queens,Murray Hill-Queens,-447,0.699394754539341,-30.060524546065903
172,126,40,Staten Island,New Dorp/Midland Beach,-86,0.31746031746031744,-68.25396825396825
173,2005,1645,Queens,North Corona,-360,0.8204488778054863,-17.955112219451372
174,3703,2915,Bronx,Norwood,-788,0.7871995679179044,-21.28004320820956
175,1118,700,Queens,Oakland Gardens,-418,0.6261180679785331,-37.38819320214669
176,83,8,Staten Island,Oakwood,-75,0.0963855421686747,-90.36144578313254
177,14054,8484,Brooklyn,Ocean Hill,-5570,0.6036715525828945,-39.63284474171054
178,1424,1146,Brooklyn,Ocean Parkway South,-278,0.8047752808988764,-19.52247191011236
179,14780,10839,Queens,Old Astoria,-3941,0.7333558863328823,-26.66441136671177
180,1989,1889,Queens,Ozone Park,-100,0.9497234791352438,-5.027652086475616
181,10802,15733,Brooklyn,Park Slope,4931,1.456489538974264,45.6489538974264
182,8170,2795,Bronx,Parkchester,-5375,0.34210526315789475,-65.78947368421053
183,1465,715,Bronx,Pelham Bay,-750,0.4880546075085324,-51.19453924914675
184,172,185,Bronx,Pelham Bay Park,13,1.0755813953488371,7.55813953488372
185,2890,1737,Bronx,Pelham Parkway,-1153,0.601038062283737,-39.8961937716263
186,398321,504959,Manhattan,Penn Station/Madison Sq West,106638,1.2677187494508197,26.77187494508198
187,27,23,Staten Island,Port Richmond,-4,0.8518518518518519,-14.814814814814813
188,20007,16939,Brooklyn,Prospect-Lefferts Gardens,-3068,0.8466536712150747,-15.334632878492528
189,5630,6179,Brooklyn,Prospect Heights,549,1.0975133214920072,9.75133214920071
190,824,1937,Brooklyn,Prospect Park,1113,2.3507281553398056,135.0728155339806
191,5508,3106,Queens,Queens Village,-2402,0.5639070442992011,-43.60929557007988
192,1074,1028,Queens,Queensboro Hill,-46,0.957169459962756,-4.283054003724395
193,14031,14039,Queens,Queensbridge/Ravenswood,8,1.0005701660608652,0.0570166060865227
194,502,932,Manhattan,Randalls Island,430,1.8565737051792828,85.65737051792829
195,9363,4444,Brooklyn,Red Hook,-4919,0.47463419844067073,-52.53658015593293
196,4090,4854,Queens,Rego Park,764,1.1867970660146698,18.679706601466993
197,10498,11483,Queens,Richmond Hill,985,1.093827395694418,9.3827395694418
198,7122,5304,Queens,Ridgewood,-1818,0.7447346251053075,-25.52653748946925
199,2,8,Bronx,Rikers Island,6,4.0,300.0
200,2227,2034,Bronx,Riverdale/North Riverdale/Fieldston,-193,0.913336326897171,-8.666367310282892
201,1177,1033,Queens,Rockaway Park,-144,0.8776550552251486,-12.234494477485132
202,2437,2107,Manhattan,Roosevelt Island,-330,0.8645876077144029,-13.541239228559704
203,2350,1256,Queens,Rosedale,-1094,0.534468085106383,-46.5531914893617
204,6,5,Staten Island,Rossville/Woodrow,-1,0.8333333333333334,-16.666666666666664
205,7467,4484,Queens,Saint Albans,-2983,0.6005089058524173,-39.94910941475827
206,68,38,Staten Island,Saint George/New Brighton,-30,0.5588235294117647,-44.11764705882353
207,1473,1463,Queens,Saint Michaels Cemetery/Woodside,-10,0.9932111337406653,-0.6788866259334692
